Year,State,DO,PH,BOD,Nitrate,Conductivity,Water Quality
2014,JAMMU & KASHMIR,7.5,7.5,2.2,0.9,158.0,62.10032041963465
2014,JAMMU & KASHMIR,6.9,6.6,2.2,0.8,268.0,45.02011455960976
2014,JAMMU & KASHMIR,7.1,7.7,2.0,0.9,198.0,72.10810982700976
2014,JAMMU & KASHMIR,7.2,7.8,1.9,0.7,205.0,75.08451850236631
2014,JAMMU & KASHMIR,8.3,7.8,1.1,0.7,104.0,58.57552676422607
2014,JAMMU & KASHMIR,8.3,7.8,1.3,0.7,104.0,59.65795153526837
2014,JAMMU & KASHMIR,8.8,7.9,1.7,0.5,108.0,63.943235047083725
2014,JAMMU & KASHMIR,8.5,7.9,1.1,0.9,91.0,60.040143310558726
2014,JAMMU & KASHMIR,8.9,8.1,4.52,0.6,155.0,89.52209562920967
2014,JAMMU & KASHMIR,9.0,8.0,4.52,0.8,217.0,91.64292129023922
2014,JAMMU & KASHMIR,8.3,7.7,1.1,0.6,131.0,57.81222137423077
2014,UTTARAKHAND,8.5,8.1,0.7,0.0,572.7,107.4812200174444
2014,UTTARAKHAND,8.8,8.1,0.7,0.0,572.7,106.6355756650676
2014,UTTARAKHAND,8.1,8.0,1.0,0.0,572.7,107.04878070940545
2014,UTTARAKHAND,8.4,8.1,1.0,0.0,572.7,109.38673862480012
2014,UTTARAKHAND,8.7,8.1,0.9,0.0,572.7,107.99988188690217
2014,UTTARAKHAND,8.2,8.0,1.1,0.0,572.7,107.30811164413433
2014,UTTARAKHAND,8.7,7.7,1.1,0.0,572.7,96.3478975868586
2014,UTTARAKHAND,6.9,7.8,5.2,0.0,572.7,126.79507377525803
2014,UTTARAKHAND,5.4,7.5,5.3,0.0,572.7,122.01370111934877
2014,UTTARAKHAND,7.7,7.7,2.1,0.0,572.7,104.57883594999275
2014,UTTAR PRADESH,9.0,7.4,2.5,0.4,242.0,63.82937603979908
2014,UTTAR PRADESH,8.0,7.4,2.7,0.1,310.0,73.8229737041883
2014,UTTAR PRADESH,8.2,7.5,2.6,0.1,293.0,74.37352005297929
2014,UTTAR PRADESH,7.8,7.4,3.1,0.1,320.0,77.45045710778378
2014,UTTAR PRADESH,7.3,7.5,1.4,0.0,277.0,68.97105623394873
2014,UTTAR PRADESH,7.9,7.9,2.9,0.2,288.0,89.13442986706725
2014,UTTAR PRADESH,7.3,7.9,3.2,0.3,276.0,91.37736529049766
2014,UTTAR PRADESH,7.9,8.2,3.0,0.2,290.0,99.4062232478881
2014,UTTAR PRADESH,7.5,8.2,3.4,0.2,307.0,104.22667922501654
2014,UTTAR PRADESH,6.3,7.7,5.5,0.3,430.0,114.11947291272959
2014,UTTAR PRADESH,8.0,7.8,3.7,0.8,213.0,83.29704131737495
2014,UTTAR PRADESH,8.2,7.8,3.6,0.8,209.0,81.83251764629873
2014,UTTAR PRADESH,8.7,8.3,3.6,1.7,385.0,112.22114305212324
2014,UTTAR PRADESH,8.4,8.3,3.9,1.8,382.0,114.42741798711057
2014,UTTAR PRADESH,8.5,8.3,4.2,2.0,404.0,117.75999923276966
2014,UTTAR PRADESH,8.4,7.7,2.5,0.4,290.0,79.38605215551357
2014,UTTAR PRADESH,8.4,7.6,2.6,0.5,299.0,77.5593008512219
2014,UTTAR PRADESH,8.3,8.2,2.9,0.0,338.0,102.03875623879438
2014,UTTAR PRADESH,7.8,8.5,4.5,0.0,385.0,125.88306197606242
2014,UTTAR PRADESH,7.7,8.5,3.9,0.0,369.0,121.47947557784562
2014,UTTAR PRADESH,8.6,8.0,1.8,0.0,290.0,84.55799050249551
2014,BIHAR,8.4,8.1,2.5,0.0,371.0,99.374697145903
2014,BIHAR,8.1,8.1,2.7,0.0,376.0,101.75220174928528
2014,BIHAR,8.1,8.1,2.3,0.0,376.0,99.58735220720067
2014,BIHAR,8.2,8.1,2.2,0.0,270.0,89.23622619566798
2014,BIHAR,8.3,8.2,2.5,0.0,311.0,97.44695510490864
2014,BIHAR,7.8,7.9,2.8,0.0,402.0,99.10891844744879
2014,BIHAR,7.9,8.0,2.7,0.0,402.0,101.46942687890682
2014,BIHAR,7.3,7.7,2.5,0.0,452.0,97.02183880893543
2014,BIHAR,8.1,8.0,2.3,0.0,386.0,97.30262089935553
2014,BIHAR,7.8,7.9,2.3,0.0,277.0,85.16696952076369
2014,BIHAR,7.7,7.8,2.6,0.0,295.0,85.50685358821534
2014,BIHAR,7.6,7.8,2.4,0.0,268.0,82.27935867616416
2014,BIHAR,7.7,7.8,2.5,0.0,280.0,83.61733476280467
2014,BIHAR,7.7,7.8,2.6,0.0,276.0,83.79899876435529
2014,BIHAR,7.8,7.9,2.7,0.0,265.0,86.25317391093668
2014,BIHAR,8.2,8.1,2.5,0.0,352.0,98.23060522362745
2014,BIHAR,8.1,8.1,2.4,0.0,375.0,100.03867749672919
2014,BIHAR,7.8,7.9,2.2,0.0,260.0,83.09767650336777
2014,BIHAR,7.8,7.9,2.3,0.0,267.0,84.26809856083736
2014,BIHAR,7.8,7.9,2.3,0.0,270.0,84.53775984881526
2014,BIHAR,7.7,7.9,2.4,0.0,262.0,84.64175691718759
2014,BIHAR,8.0,8.0,2.4,0.0,377.0,97.31673087173523
2014,BIHAR,7.7,7.9,2.3,0.0,292.0,86.79715741144548
2014,WEST BENGAL,7.4,7.9,4.2,0.8,304.0,99.05771995283554
2014,WEST BENGAL,7.4,7.9,3.3,0.7,353.0,98.58462147275931
2014,WEST BENGAL,6.9,8.0,2.8,0.8,312.0,96.7928528452133
2014,WEST BENGAL,6.7,7.8,3.4,0.9,315.0,94.51300152638464
2014,WEST BENGAL,6.0,7.9,3.1,0.7,323.0,98.75192413302969
2014,WEST BENGAL,6.7,8.0,4.2,0.7,319.0,105.55614410201741
2014,WEST BENGAL,6.3,8.0,3.6,0.7,314.0,102.9869601120964
2014,WEST BENGAL,6.1,8.1,3.2,0.7,322.0,105.28857250730888
2014,WEST BENGAL,6.3,8.1,3.4,0.6,368.0,109.93538607840287
2014,WEST BENGAL,6.9,8.0,3.7,0.8,1900.0,244.40447275120738
2014,UTTARAKHAND,6.5,8.2,1.1,0.0,572.7,118.4673008431458
2014,UTTARAKHAND,7.7,8.2,1.3,0.0,572.7,116.16714820468091
2014,HIMACHAL PRADESH,7.7,7.5,1.2,0.2,465.0,83.67318913440262
2014,HIMACHAL PRADESH,7.5,7.8,1.5,0.2,331.0,83.366525132852
2014,DELHI,9.3,7.6,2.4,1.46,572.7,98.60592645087303
2014,DELHI,1.2,7.5,17.2,9.0,572.7,198.85592019188843
2014,DELHI,1.4,7.6,17.3,9.2,572.7,202.0302813716464
2014,UTTAR PRADESH,4.0,7.7,8.3,0.0,196.0,114.70314847119253
2014,DELHI,4.337,7.78,4.52,0.0,572.7,129.7027306839657
2014,UTTAR PRADESH,3.7,7.5,9.2,0.0,273.0,120.97380614914958
2014,DELHI,4.337,7.78,4.52,0.0,572.7,129.7027306839657
2014,UTTAR PRADESH,4.337,7.78,4.52,0.0,572.7,129.7027306839657
2014,UTTAR PRADESH,4.337,7.78,4.52,0.0,572.7,129.7027306839657
2014,UTTAR PRADESH,4.5,7.5,7.0,0.0,281.0,107.53117882928721
2014,CPCB_ DELHI,4.337,7.78,4.52,0.0,572.7,129.7027306839657
2014,CPCB_ DELHI,4.337,7.78,4.52,0.0,572.7,129.7027306839657
2014,CPCB_ DELHI,4.337,7.78,4.52,0.0,572.7,129.7027306839657
2014,UTTAR PRADESH,8.1,8.2,2.4,1.8,522.0,116.55546772786742
2014,DELHI,1.4,7.5,38.2,1.46,572.7,311.44499281226274
2014,UTTARAKHAND,3.0,7.6,33.2,0.0,572.7,282.96071376653583
2014,UTTARAKHAND,7.7,7.6,1.4,0.0,229.0,66.71255209090467
2014,UTTARAKHAND,2.8,7.1,18.4,0.0,378.0,170.00601468236664
2014,UTTARAKHAND,0.8,6.8,37.5,0.0,550.0,284.9249830401706
2014,UTTARAKHAND,2.4,7.2,35.7,0.0,706.0,297.42985293405053
2014,UTTARAKHAND,1.8,7.3,30.4,0.0,801.0,282.15976159325487
2014,UTTARAKHAND,7.9,7.1,6.4,0.0,386.0,91.40367119736395
2014,UTTAR PRADESH,6.9,8.0,4.1,0.3,391.0,110.89642087028153
2014,UTTAR PRADESH,4.337,7.5,72.1,7.3,1859.0,602.6475401685484
2014,UTTAR PRADESH,6.2,7.9,5.1,0.3,316.0,108.35658041381986
2014,UTTAR PRADESH,8.0,8.0,2.6,0.0,305.0,91.92728473130785
2014,UTTAR PRADESH,3.3,8.4,36.5,0.0,508.0,319.6282011678054
2014,UTTAR PRADESH,7.3,13.2,3.7,0.1,237.0,259.29544123822905
2014,UTTAR PRADESH,7.8,8.2,2.9,0.0,298.0,99.85267965305033
2014,UTTAR PRADESH,8.7,8.1,2.7,1.3,392.0,101.58561786273845
2014,UTTAR PRADESH,8.0,8.0,3.3,1.6,454.0,109.215424157258
2014,UTTAR PRADESH,2.6,7.6,9.5,4.0,568.0,155.66462341102553
2014,UTTAR PRADESH,7.7,8.2,3.3,0.0,323.0,104.54658804574306
2014,UTTAR PRADESH,7.8,8.1,3.0,0.0,306.0,97.9293865387411
